,stock_date,company_name,stock_price
3,2020-05-06,INFY,665.9
4,2020-05-07,INFY,664.95
5,2020-05-08,INFY,674.2
6,2020-05-11,INFY,682.9
7,2020-05-12,INFY,687.65
8,2020-05-13,INFY,694.15
9,2020-05-14,INFY,658.15
10,2020-05-15,INFY,652.3
11,2020-05-18,INFY,663.9
12,2020-05-19,INFY,668.6
13,2020-05-20,INFY,669.55
14,2020-05-21,INFY,672.2
15,2020-05-22,INFY,692.35
16,2020-05-26,INFY,680.55
17,2020-05-27,INFY,705.45
18,2020-05-28,INFY,707.4
19,2020-05-29,INFY,691.0
20,2020-06-01,INFY,699.55
21,2020-06-02,INFY,708.1
22,2020-06-03,INFY,701.55
23,2020-06-04,INFY,707.75
24,2020-06-05,INFY,703.55
25,2020-06-08,INFY,720.85
26,2020-06-09,INFY,717.6
27,2020-06-10,INFY,715.85
28,2020-06-11,INFY,703.95
29,2020-06-12,INFY,692.05
30,2020-06-15,INFY,687.55
31,2020-06-16,INFY,701.2
32,2020-06-17,INFY,703.65
33,2020-06-18,INFY,713.9
34,2020-06-19,INFY,705.55
35,2020-06-22,INFY,703.7
36,2020-06-23,INFY,720.65
37,2020-06-24,INFY,714.15
38,2020-06-25,INFY,700.5
39,2020-06-26,INFY,748.2
40,2020-06-29,INFY,731.75
41,2020-06-30,INFY,735.95
42,2020-07-01,INFY,731.9
43,2020-07-02,INFY,756.6
44,2020-07-03,INFY,762.7
45,2020-07-06,INFY,764.0
46,2020-07-07,INFY,794.15
47,2020-07-08,INFY,774.7
48,2020-07-09,INFY,781.7
49,2020-07-10,INFY,781.85
50,2020-07-13,INFY,797.05
51,2020-07-14,INFY,783.25
52,2020-07-15,INFY,830.95
53,2020-07-16,INFY,911.0
54,2020-07-17,INFY,903.15
55,2020-07-20,INFY,934.3
56,2020-07-21,INFY,936.75
57,2020-07-22,INFY,917.9
58,2020-07-23,INFY,907.95
59,2020-07-24,INFY,922.85
60,2020-07-27,INFY,948.45
61,2020-07-28,INFY,962.85
62,2020-07-29,INFY,954.15
63,2020-07-30,INFY,961.45
64,2020-07-31,INFY,966.0
65,2020-08-03,INFY,956.9
66,2020-08-04,INFY,949.85
67,2020-08-05,INFY,944.7
68,2020-08-06,INFY,970.85
69,2020-08-07,INFY,950.9
70,2020-08-10,INFY,951.35
71,2020-08-11,INFY,948.45
72,2020-08-12,INFY,954.95
73,2020-08-13,INFY,951.2
74,2020-08-14,INFY,953.6
75,2020-08-17,INFY,957.5
76,2020-08-18,INFY,967.55
77,2020-08-19,INFY,959.3
78,2020-08-20,INFY,955.15
79,2020-08-21,INFY,948.8
80,2020-08-24,INFY,947.4
81,2020-08-25,INFY,938.1
82,2020-08-26,INFY,950.8
83,2020-08-27,INFY,947.05
84,2020-08-28,INFY,935.25
85,2020-08-31,INFY,928.6
86,2020-09-01,INFY,914.15
87,2020-09-02,INFY,924.0
88,2020-09-03,INFY,935.55
89,2020-09-04,INFY,919.15
90,2020-09-07,INFY,925.05
91,2020-09-08,INFY,939.3
92,2020-09-09,INFY,927.75
93,2020-09-10,INFY,940.05
94,2020-09-11,INFY,945.7
95,2020-09-14,INFY,978.4
96,2020-09-15,INFY,982.45
97,2020-09-16,INFY,1001.75
98,2020-09-17,INFY,1011.0
99,2020-09-18,INFY,1002.15
100,2020-09-21,INFY,1009.9
101,2020-09-22,INFY,1007.5
102,2020-09-23,INFY,1019.75
103,2020-09-24,INFY,975.4
104,2020-09-25,INFY,1011.45
105,2020-09-28,INFY,1010.4
106,2020-09-29,INFY,1009.0
107,2020-09-30,INFY,1008.25
108,2020-10-01,INFY,1017.65
109,2020-10-05,INFY,1048.7
110,2020-10-06,INFY,1055.75
111,2020-10-07,INFY,1066.55
112,2020-10-08,INFY,1093.7
113,2020-10-09,INFY,1106.8
114,2020-10-12,INFY,1132.1
115,2020-10-13,INFY,1157.8
116,2020-10-14,INFY,1137.0
117,2020-10-15,INFY,1108.25
118,2020-10-16,INFY,1127.5
119,2020-10-19,INFY,1125.9
120,2020-10-20,INFY,1137.5
121,2020-10-21,INFY,1148.35
122,2020-10-22,INFY,1129.05
123,2020-10-23,INFY,1122.5
124,2020-10-26,INFY,1112.45
125,2020-10-27,INFY,1090.85
126,2020-10-28,INFY,1076.55
127,2020-10-29,INFY,1074.85
128,2020-10-30,INFY,1060.6
129,2020-11-02,INFY,1072.3
130,2020-11-03,INFY,1062.55
131,2020-11-04,INFY,1093.95
132,2020-11-05,INFY,1104.0
133,2020-11-06,INFY,1112.75
134,2020-11-09,INFY,1136.55
135,2020-11-10,INFY,1091.05
136,2020-11-11,INFY,1122.5
137,2020-11-12,INFY,1117.75
138,2020-11-13,INFY,1124.2
139,2020-11-14,INFY,1133.45
140,2020-11-17,INFY,1123.7
141,2020-11-18,INFY,1110.55
142,2020-11-19,INFY,1096.75
143,2020-11-20,INFY,1103.35
144,2020-11-23,INFY,1139.85
145,2020-11-24,INFY,1140.05
146,2020-11-25,INFY,1115.65
147,2020-11-26,INFY,1113.2
148,2020-11-27,INFY,1100.0
149,2020-12-01,INFY,1137.85
150,2020-12-02,INFY,1140.9
151,2020-12-03,INFY,1126.45
152,2020-12-04,INFY,1134.65
153,2020-12-07,INFY,1143.5
154,2020-12-08,INFY,1153.35
155,2020-12-09,INFY,1175.2
156,2020-12-10,INFY,1167.75
157,2020-12-11,INFY,1163.2
158,2020-12-14,INFY,1164.55
159,2020-12-15,INFY,1154.6
160,2020-12-16,INFY,1165.7
161,2020-12-17,INFY,1159.2
162,2020-12-18,INFY,1189.8
163,2020-12-21,INFY,1177.3
164,2020-12-22,INFY,1220.5
165,2020-12-23,INFY,1253.05
166,2020-12-24,INFY,1236.05
